Date,Dead,Confirmed,Recovered
02/29/20,0,0,0
2003/1/20,0,0,0
2003/2/20,0,1,0
2003/3/20,0,1,0
2003/4/20,0,1,0
2003/5/20,0,4,0
2003/6/20,0,11,0
2003/7/20,0,11,0
2003/8/20,0,12,0
2003/9/20,0,19,0
2003/10/20,0,25,0
2003/11/20,0,55,0
2003/12/20,1,95,0
3/13/20,2,154,0
3/14/20,5,269,0
3/15/20,11,269,0
3/16/20,21,463,0
3/17/20,32,814,0
3/18/20,57,1871,0
3/19/20,84,3954,0
3/20/20,134,5151,0
3/21/20,180,7530,0
3/22/20,232,9654,0
3/23/20,328,12305,0
3/24/20,433,14904,0
3/25/20,573,17856,0
3/26/20,798,21873,0
3/27/20,1050,25573,0
3/28/20,1377,29776,0
3/29/20,1729,33768,0
3/30/20,2128,37453,0
3/31/20,2589,43119,0
2004/1/20,3115,47439,0
2004/2/20,3754,51809,0
2004/3/20,4399,57159,0
2004/4/20,5077,63306,0
2004/5/20,5804,67551,0
2004/6/20,6596,72181,0
2004/7/20,7406,76876,0
2004/8/20,8137,81803,0
2004/9/20,8861,87028,0
2004/10/20,9558,92384,0
2004/11/20,10238,98308,0
2004/12/20,10955,103208,0
4/13/20,11681,106763,0
4/14/20,12324,110465,0
4/15/20,12851,118302,0
4/16/20,13374,123146,0
4/17/20,13826,127352,0
4/18/20,14291,131334,0
4/19/20,14735,134267,0
4/20/20,15169,136591,0
4/21/20,15529,139348,0
4/22/20,15864,142227,0
4/23/20,16158,145855,0
4/24/20,16190,150473,0
4/25/20,17126,155113,0
4/26/20,17280,158258,0
4/27/20,17515,160489,0
4/28/20,17682,162338,0
4/29/20,18076,164841,0
4/30/20,18069,167478,0
