Date,Confirmed,Dead,Recovered,Exposed
1/22/20,1,0,0,5
1/23/20,1,0,0,5
1/24/20,2,0,0,5
1/25/20,2,0,0,5
1/26/20,5,0,0,7
1/27/20,5,0,0,8
1/28/20,5,0,0,8
1/29/20,5,0,0,11
1/30/20,5,0,0,11
1/31/20,7,0,0,11
2/1/20,8,0,0,11
2/2/20,8,0,0,11
2/3/20,11,0,0,11
2/4/20,11,0,0,11
2/5/20,11,0,0,11
2/6/20,11,0,0,12
2/7/20,11,0,0,12
2/8/20,11,0,0,13
2/9/20,11,0,3,13
2/10/20,11,0,3,13
2/11/20,12,0,3,13
2/12/20,12,0,3,13
2/13/20,13,0,3,13
2/14/20,13,0,3,13
2/15/20,13,0,3,13
2/16/20,13,0,3,15
2/17/20,13,0,3,15
2/18/20,13,0,3,15
2/19/20,13,0,3,51
2/20/20,13,0,3,51
2/21/20,15,0,5,57
2/22/20,15,0,5,58
2/23/20,15,0,5,60
2/24/20,51,0,5,68
2/25/20,51,0,6,74
2/26/20,57,0,6,98
2/27/20,58,0,6,118
2/28/20,60,0,7,149
2/29/20,68,1,7,219
3/1/20,74,1,7,267
3/2/20,98,6,7,403
3/3/20,118,7,7,519
3/4/20,149,11,7,588
3/5/20,219,12,7,962
3/6/20,267,14,7,1285
3/7/20,403,17,7,1667
3/8/20,519,21,7,2181
3/9/20,588,22,7,2729
3/10/20,962,28,8,3536
3/11/20,1285,36,8,4661
3/12/20,1667,42,12,6437
3/13/20,2181,50,12,7781
3/14/20,2729,60,12,13748
3/15/20,3536,74,12,19274
3/16/20,4661,100,17,25600
3/17/20,6437,134,17,33280
3/18/20,7781,165,105,43862
3/19/20,13748,259,121,53925
3/20/20,19274,350,147,65844
3/21/20,25600,442,176,83836
3/22/20,33280,587,178,101962
3/23/20,43862,786,178,121786
3/24/20,53925,1011,348,140910
3/25/20,65844,1320,361,162147
3/26/20,83836,1726,681,188172
3/27/20,101962,2269,869,213602
3/28/20,121786,2744,1072,244008
3/29/20,140910,3420,2665,275798
3/30/20,162147,4196,5644,309027
3/31/20,188172,5367,7024,336802
4/1/20,213602,6511,8474,366317
4/2/20,244008,7938,9001,397121
4/3/20,275798,9260,9707,428654
4/4/20,309027,10870,14652,463327
4/5/20,336802,12375,17448,496846
4/6/20,366317,13894,19581,526776
4/7/20,397121,16191,21763,555313
4/8/20,428654,18270,23559,580624
4/9/20,463327,20288,25410,607670
4/10/20,496846,22357,28790,636674
4/11/20,526776,24366,31270,667981
4/12/20,555313,26086,32988,700062
4/13/20,580624,27870,43482,732590
4/14/20,607670,30262,47763,758809
4/15/20,636674,32760,52096,784708
4/16/20,667981,34844,54703,811865
4/17/20,700062,37428,58545,840351
4/18/20,732590,39775,64840,869170
4/19/20,758809,40945,70337,905358
4/20/20,784708,42686,72329,938154
4/21/20,811865,45086,75204,965785
4/22/20,840351,47412,77366,988197
4/23/20,869170,49724,80203,1012582
4/24/20,905358,51493,99079,1039909
4/25/20,938154,53755,100372,1069424
4/26/20,965785,54881,106988,1103461
4/27/20,988197,56219,111424,1132539
4/28/20,1012582,58355,115936,1158040
4/29/20,1039909,60967,120720,1180375
4/30/20,1069424,62996,153947,1204351
5/1/20,1103461,64943,164015,1229331
5/2/20,1132539,66369,175382,1257023
5/3/20,1158040,67682,180152,1283929
5/4/20,1180375,68922,187180,1309550
5/5/20,1204351,71064,189791,1329260
5/6/20,1229331,73455,189910,1347881
5/7/20,1257023,75662,195036,1369376
5/8/20,1283929,77180,198993,1390406
5/9/20,1309550,78795,212534,1417774
5/10/20,1329260,79526,216169,1442824
5/11/20,1347881,80682,232733,1467820
5/12/20,1369376,82356,230287,1486757
5/13/20,1390406,84119,243430,1508308
5/14/20,1417774,85898,246414,1528568
5/15/20,1442824,87530,250747,1551853
5/16/20,1467820,88754,268376,1577147
5/17/20,1486757,89562,272265,1600937
5/18/20,1508308,90347,283178,1622612
5/19/20,1528568,91921,289392,1643246
5/20/20,1551853,93439,294312,1662302
5/21/20,1577147,94702,298418,1680913
5/22/20,1600937,95978,350135,1699176
5/23/20,1622612,97086,361239,1721753
5/24/20,1643246,97719,366736,1746019
5/25/20,1662302,98219,379157,1770165
5/26/20,1680913,98912,384902,1790172
5/27/20,1699176,100417,391508,1811020
5/28/20,1721753,101616,399991,1831821
5/29/20,1746019,102809,406446,1851520
5/30/20,1770165,103776,416461,
5/31/20,1790172,104381,444758,
6/1/20,1811020,105149,458231,
6/2/20,1831821,106180,463868,
6/3/20,1851520,107175,479258,
